名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
月美池公园,福建,厦门,厦门,0592,,杏南/月美池公园,銮浦路,景点,公园/广场,118.049324,24.553925
杏林区基督教高浦堂,福建,厦门,厦门,0592,,杏南/月美池公园,月浦路595号,景点,宗教,118.048897,24.560616
海海假期国际旅行社,福建,厦门,厦门,0592,6363639;6363633,灌口/凤泉广场,白水泉里16号,景点,旅行社,117.993156,24.608133
东岳行宫,福建,厦门,厦门,0592,,城东/岳口,岳东路与环城东路交叉口西150米,景点,历史建筑,118.166206,24.724497
煌萍茶花观光园,福建,厦门,厦门,0592,,同安区,竹坝华侨农场附近,景点,植物园,118.218498,24.772284
厦旅国旅,福建,厦门,厦门,0592,7893608,城西/祥平街道,同宏路东同安大道北榕源路151号13层,景点,旅行社,118.135634,24.731584
西山岩寺,福建,厦门,厦门,0592,,同安区,422县道,景点,宗教,118.095413,24.711292
护山宫,福建,厦门,厦门,0592,,同安区,新民大道,景点,历史建筑,118.096927,24.710893
卢戆章公园,福建,厦门,厦门,0592,,乐海城市广场,公园道1号,景点,公园/广场,118.134132,24.723036
后塘村文化园,福建,厦门,厦门,0592,,同安区,后塘里2号附近西南方向150米,景点,文化公园,118.188347,24.760077
刘厝文化园,福建,厦门,厦门,0592,,同安区,五显北路,景点,文化公园,118.206108,24.767509
慧觉岩,福建,厦门,厦门,0592,,同安区,416县道,景点,自然景观,118.008138,24.788705
莲花书院景区,福建,厦门,厦门,0592,7319355,同安区,莲花镇莲花书院景区内,景点,自然风光,118.046395,24.735825
文山景区,福建,厦门,厦门,0592,7368566,同安区,厦沙高速文山段,景点,自然风光,118.091258,24.79543
同安古城墙,福建,厦门,厦门,0592,,同安老城区/钟楼,三秀路238号,景点,古村古镇,118.158043,24.732124
东山古庙,福建,厦门,厦门,0592,,汀溪,小西门东山路,景点,宗教,118.15181,24.743679
芦山堂,福建,厦门,厦门,0592,,同安老城区/钟楼,大同镇洗墨池路,景点,历史建筑,118.150185,24.733335
拱莲古寺,福建,厦门,厦门,0592,,城东/岳口,洪塘路85号,景点,宗教,118.179932,24.717737
华藏庵,福建,厦门,厦门,0592,,同安区,吕厝村东头埔里279号,景点,宗教,118.165584,24.661597
南洋会馆,福建,厦门,厦门,0592,7868686,同安区,竹坝路厦门市竹坝学校西北侧约90米,景点,展览馆,118.208092,24.782455
龙游天下旅行社,福建,厦门,厦门,0592,7318166,同安老城区/钟楼,南门路85号,景点,旅行社,118.153398,24.730701
乌涂游乐城,福建,厦门,厦门,0592,189****9588,乌涂商业街,集安路湖里工业园东1门东北侧约90米,景点,游乐场,118.121407,24.704601
厦旅国际宝中旅游,福建,厦门,厦门,0592,7559177,城东/岳口,凤山路442号,景点,旅行社,118.161717,24.722677
盈岭古寺,福建,厦门,厦门,0592,,翔安区,水头镇324国道东100米,景点,宗教,118.332207,24.684954
人民体育广场,福建,厦门,厦门,0592,,新店,新店镇祥吴一路1555号,景点,公园/广场,118.241029,24.62314
三王府,福建,厦门,厦门,0592,,大嶝岛,荔苑二路与万兴路交叉路口往北约230米,景点,历史建筑,118.313766,24.556553
法治文化广场,福建,厦门,厦门,0592,,新店,顶曾路360号,景点,广场,118.247971,24.626038
水塘公园,福建,厦门,厦门,0592,,马巷,内厝镇宝树南路,景点,公园/广场,118.288902,24.67127
厦门航空国际旅行社,福建,厦门,厦门,0592,7180799,马巷,巷南路175号之13号,景点,旅行社,118.251766,24.657796
新店文化广场,福建,厦门,厦门,0592,,新店,永兴路58号,景点,公园/广场,118.245117,24.605922
昭应宫,福建,厦门,厦门,0592,,马巷,紫金路翔安区郑坂小学东北侧约140米,景点,历史建筑,118.236153,24.643782
池王宫,福建,厦门,厦门,0592,,马巷,马巷街218号,景点,历史建筑,118.250832,24.661758
慈济圣宫,福建,厦门,厦门,0592,,大嶝岛,阳塘东路与阳塘南路交叉口西北100米,景点,宗教,118.337173,24.542093
通济古庙,福建,厦门,厦门,0592,,大嶝岛,环嶝北路与424县道交叉口西40米,景点,宗教,118.343491,24.558456
清龙塔,福建,厦门,厦门,0592,,大嶝岛,环嶝南路,景点,人文古迹,118.310791,24.555204
金门县政府旧址,福建,厦门,厦门,0592,,大嶝岛,田墘社区居委会办公楼西北侧20米),景点,古代遗迹,118.3311,24.562191
劳动公园,福建,厦门,厦门,0592,,新店,新店街道下曾路2号之4,景点,公园/广场,118.24691,24.619434
萃英公园,福建,厦门,厦门,0592,,马巷,萃英小学对面,景点,公园/广场,118.244713,24.675875
